id,article,link,alias,feedbackSelection,feedbackInput
92,https://en.wikipedia.org/wiki/Enteng_ng_Ina_Mo,http://www.philstar.com/Article.aspx?articleId=760908&publicationSubCategoryId=96,https://www.philstar.com/balita/2011/12/23/760908/portalets-ipadala-sa-cagayan-de-oro,Incorrect,
93,https://en.wikipedia.org/wiki/LRT_Line_1_(Metro_Manila),http://www.philstar.com/Article.aspx?articleid=400655,https://www.philstar.com/opinion/2008/09/15/400655/choices,Incorrect,Unable to find URL in article
94,https://en.wikipedia.org/wiki/2009_in_the_Philippines,http://www.philstar.com/Article.aspx?articleId=532059&publicationSubCategoryId=63,https://www.philstar.com/headlines/2009/12/14/532059/all-agusan-hostages-released,Incorrect,"New URL is incorrect, it contains another article by another journalist, but it still verified the cited fact in the wiki article. "
95,https://en.wikipedia.org/wiki/2002_in_the_Philippines,http://www.philstar.com/ArticlePrinterFriendly.aspx?articleId=184011,http://www.philstar.com/sports/2002/11/15/184011/jewelers-glisten-stretch,Incorrect,
96,https://en.wikipedia.org/wiki/Philippines_at_the_2012_Summer_Olympics,http://www.philstar.com/sportsarticle.aspx?articleid=830389&publicationsubcategoryid=69,https://www.philstar.com/metro-cebu/2012/07/22/830389/man-arrested-beating-nephew,Incorrect,
97,https://en.wikipedia.org/wiki/Philippines_at_the_2012_Summer_Olympics,http://www.philstar.com/sportsarticle.aspx?articleid=833525&publicationsubcategoryid=69,https://www.philstar.com/metro/2012/08/01/833525/chinese-trader-hinoldap-na-ginilitan-pa,Incorrect,
98,https://en.wikipedia.org/wiki/2013_Philippine_Senate_election,http://www.philstar.com/Article.aspx?articleId=801459&publicationSubCategoryId=63,https://www.philstar.com/opinion/2012/04/29/801459/economist-debate-china-use-our-claims-trump-card,Incorrect,
99,https://en.wikipedia.org/wiki/Philippines_at_the_2012_Summer_Olympics,http://www.philstar.com/sportsarticle.aspx?publicationsubcategoryid=200&articleid=835919,https://www.philstar.com/nation/2012/08/08/835919/missing-zambales-fisherman-rescued,Incorrect,
100,https://en.wikipedia.org/wiki/Sue_Wicks,http://www.philstar.com/articleprinterfriendly.aspx?articleid=485130,https://www.philstar.com/sports/2009/07/10/485130/national-junior-pools-tourney-on,Incorrect,
101,https://en.wikipedia.org/wiki/Zia_Quizon,http://www.philstar.com/Article.aspx?articleId=826197&publicationSubCategoryId=63,https://www.philstar.com/metro/2012/07/10/826197/cops-eye-business-samar-ex-mayors-slay,Incorrect,
102,https://en.wikipedia.org/wiki/2010%E2%80%9311_Talk_%27N_Text_Tropang_Texters_season,http://www.philstar.com/Article.aspx?articleId=617263&publicationSubCategoryId=69,https://www.philstar.com/cebu-news/2010/10/03/617263/coa-tells-mandaue-finish-condo-plan,Incorrect,
103,https://en.wikipedia.org/wiki/Jasmine_Alkhaldi,http://www.philstar.com/sportsarticle.aspx?articleid=821395&publicationsubcategoryid=69,https://www.philstar.com/balita/2012/06/26/821395/pugante-sa-cpdrc-napusilan-sa-polis,Incorrect,
104,https://en.wikipedia.org/wiki/List_of_people_who_adopted_matrilineal_surnames,http://www.philstar.com/Article.aspx?articleId=636750&publicationSubCategoryId=52,http://www.philstar.com/palaro/2010/12/08/636750/casino-femme-the-empowered-run-gitakda,Incorrect,
105,https://en.wikipedia.org/wiki/Eugene_Domingo,http://www.philstar.com/Article.aspx?articleid=558172,https://www.philstar.com/cebu-news/2010/03/16/558172/upland-barangay-chief-may-be-sued-vandalizing-government-property,Incorrect,
106,https://en.wikipedia.org/wiki/2011_PBA_Governors%27_Cup_Finals,http://www.philstar.com/sportsarticle.aspx?publicationsubcategoryid=69&articleid=719383&keyword=sp_pba,https://www.philstar.com/cebu-lifestyle/2011/08/23/719383/two-birthdays-and-wedding-anniversary,Incorrect,
107,https://en.wikipedia.org/wiki/Janina_San_Miguel,http://www.philstar.com/ArticlePrinterFriendly.aspx?articleId=494340,http://www.philstar.com/cebu-sports/2009/08/10/494340/lagman-whips-satera-milo-tennis-tourney,Incorrect,
108,https://en.wikipedia.org/wiki/University_of_the_Philippines_Los_Ba%C3%B1os,http://www.philstar.com/Article.aspx?articleId=659310&publicationSubCategoryId=67,https://www.philstar.com/opinyon/2011/02/22/659310/ang-espiritu-santo-gerard-fuller-omi,Incorrect,
109,https://en.wikipedia.org/wiki/Jhet_van_Ruyven,http://www.philstar.com/Article.aspx?articleId=294164/,https://www.philstar.com/lifestyle/health-and-family/2005/08/30/294164/raising-bright-child-sound-mind-sound-body,Incorrect,
